;COMUNA;total;De18a24P;FemeninoP
142;Litueche;328;0.442073171;0.417682927
143;Llaillay;1363;0.442406456;0.504035216
144;Llanquihue;964;0.491701245;0.559128631
145;Lo Barnechea;6256;0.628836317;0.560581841
146;Lo Espejo;6347;0.451709469;0.604380022
147;Lo Prado;6827;0.376885894;0.578438553
148;Lolol;420;0.423809524;0.492857143
149;Loncoche;1627;0.340503995;0.468961278
150;Longavi;1459;0.496915696;0.51405072
151;Lonquimay;865;0.405780347;0.389595376
152;Los Alamos;1135;0.607048458;0.51277533
153;Los Andes;4179;0.405360134;0.569992821
154;Los Angeles;10583;0.570632146;0.502126051
155;Los Lagos;1265;0.42055336;0.418972332
156;Los Muermos;1098;0.483606557;0.408925319
157;Los Sauces;453;0.368653422;0.465783664
158;Los Vilos;1226;0.39314845;0.482055465
159;Lota;2896;0.367058011;0.51968232
160;Lumaco;564;0.491134752;0.377659574
161;Machali;2550;0.611764706;0.523137255
162;Macul;8012;0.327383924;0.6054668
163;Mafil;478;0.364016736;0.439330544
164;Maipu;25999;0.587676449;0.558983038
165;Malloa;756;0.447089947;0.493386243
166;Marchigue;606;0.381188119;0.511551155
167;Maria Elena;490;0.344897959;0.516326531
168;Maria Pinto;700;0.502857143;0.491428571
169;Mariquina;1260;0.515079365;0.407936508
170;Maule;1696;0.70990566;0.517099057
171;Maullin;1261;0.34258525;0.440126883
172;Mejillones;738;0.407859079;0.593495935
173;Melipeuco;516;0.26744186;0.370155039
174;Melipilla;5802;0.482764564;0.5336091
175;Molina;2269;0.474217717;0.539444689
176;Monte Patria;2016;0.472718254;0.476686508
177;Mostazal;1382;0.55788712;0.518089725
178;Mulchen;1802;0.503884573;0.490011099
179;Nacimiento;1403;0.463292944;0.504632929
180;Nancagua;988;0.5;0.502024291
181;Natales;1881;0.377990431;0.522062733
182;Navidad;435;0.259770115;0.432183908
183;Negrete;471;0.47133758;0.49044586
184;Ninhue;403;0.41439206;0.454094293
185;Nogales;1378;0.494920174;0.494194485
186;Nueva Imperial;2378;0.411269975;0.475189235
187;Ñiquen;618;0.352750809;0.480582524
188;Ñuñoa;16222;0.24460609;0.644618419
189;O'Higgins;25;0.56;0.36
190;Olivar;691;0.481910275;0.483357453
191;Ollague;33;0.242424242;0.454545455
192;Olmue;1585;0.485173502;0.507255521
193;Osorno;9248;0.446583045;0.540549308
194;Ovalle;6580;0.400911854;0.542097264
195;Padre Hurtado;2964;0.612348178;0.534075574
196;Padre Las Casas;4234;0.658242796;0.50212565
197;Paiguano;367;0.329700272;0.517711172
198;Paillaco;1182;0.387478849;0.4678511
199;Paine;3298;0.574590661;0.539417829
200;Palena;198;0.333333333;0.515151515
201;Palmilla;673;0.417533432;0.506686478
202;Panguipulli;2345;0.50533049;0.442217484
203;Panquehue;367;0.441416894;0.48773842
204;Papudo;383;0.347258486;0.454308094
205;Paredones;369;0.319783198;0.384823848
206;Parral;2409;0.384391864;0.532171025
207;Pedro Aguirre Cerda;7232;0.360066372;0.628733407
208;Pelarco;442;0.371040724;0.497737557
209;Pelluhue;483;0.393374741;0.50310559
210;Pemuco;438;0.452054795;0.401826484
211;Pencahue;519;0.368015414;0.554913295
212;Penco;2422;0.438480595;0.534682081
213;Peñaflor;4946;0.513748484;0.582490902
214;Peñalolen;11469;0.51259918;0.566483564
215;Peralillo;880;0.365909091;0.472727273
216;Perquenco;481;0.367983368;0.507276507
217;Petorca;617;0.390599676;0.525121556
218;Peumo;881;0.46538025;0.517593644
219;Pica;384;0.317708333;0.567708333
220;Pichidegua;1117;0.481647269;0.464637422
221;Pichilemu;986;0.484787018;0.481744422
222;Pinto;716;0.434357542;0.473463687
223;Pirque;1464;0.49795082;0.537568306
224;Pitrufquen;1751;0.300399772;0.490576813
225;Placilla;451;0.445676275;0.554323725
226;Portezuelo;374;0.371657754;0.43315508
227;Porvenir;387;0.379844961;0.452196382
228;Pozo Almonte;800;0.43375;0.5
229;Primavera;47;0.425531915;0.361702128
230;Providencia;13511;0.157945378;0.648952705
231;Puchuncavi;1105;0.399095023;0.48959276
232;Pucon;2132;0.383677298;0.499061914
233;Pudahuel;11008;0.597383721;0.549600291
234;Puente Alto;25994;0.678618143;0.555281988
235;Puerto Montt;12301;0.587757093;0.505406065
236;Puerto Octay;571;0.371278459;0.453590193
237;Puerto Varas;2702;0.496299038;0.526646928
238;Pumanque;267;0.258426966;0.565543071
239;Punitaqui;820;0.442682927;0.452439024
240;Punta Arenas;8439;0.375399929;0.573172177
241;Puqueldon;346;0.335260116;0.447976879
242;Puren;819;0.431013431;0.442002442
243;Purranque;1123;0.38824577;0.430097952
244;Putaendo;1058;0.459357278;0.465973535
245;Putre;275;0.152727273;0.498181818
246;Puyehue;643;0.469673406;0.452566096
247;Queilen;530;0.362264151;0.413207547
248;Quellon;1313;0.560548363;0.482102056
249;Quemchi;784;0.331632653;0.43494898
250;Quilaco;272;0.360294118;0.363970588
251;Quilicura;8090;0.675401731;0.542274413
252;Quilleco;559;0.395348837;0.370304114
253;Quillon;1024;0.393554688;0.473632813
254;Quillota;5843;0.428546979;0.53208968
255;Quilpue;11154;0.380132688;0.584722969
256;Quinchao;836;0.273923445;0.488038278
257;Quinta De Tilcoco;666;0.444444444;0.51951952
258;Quinta Normal;8374;0.351564366;0.587174588
259;Quintero;1914;0.39707419;0.527168234
260;Quirihue;764;0.376963351;0.523560209
261;Rancagua;12317;0.434277827;0.540959649
262;Ranquil;335;0.292537313;0.492537313
263;Rauco;585;0.471794872;0.533333333
264;Recoleta;10839;0.300950272;0.58464803
265;Renaico;647;0.445131376;0.523956723
266;Renca;8127;0.535252861;0.557401255
267;Rengo;3295;0.515326252;0.51047041
268;Requinoa;1436;0.556406685;0.504178273
269;Retiro;864;0.434027778;0.480324074
270;Rinconada;583;0.382504288;0.476843911
271;Rio Bueno;2459;0.401789345;0.475396503
272;Rio Claro;598;0.553511706;0.473244147
273;Rio Hurtado;376;0.279255319;0.494680851
274;Rio Ibañez;164;0.481707317;0.475609756
275;Rio Negro;756;0.355820106;0.419312169
276;Rio Verde;26;NA;0.076923077
277;Romeral;677;0.503692762;0.487444609
278;Saavedra;789;0.386565272;0.405576679
279;Sagrada Familia;843;0.56109134;0.470937129
280;Salamanca;1504;0.408909574;0.486702128
281;San Antonio;5885;0.504672897;0.538317757
282;San Bernardo;16064;0.584038845;0.561752988
283;San Carlos;2992;0.436497326;0.527072193
284;San Clemente;1934;0.502585315;0.502068252
285;San Esteban;1103;0.452402539;0.509519492
286;San Fabian;331;0.341389728;0.392749245
287;San Felipe;4105;0.438489647;0.547624848
288;San Fernando;3790;0.430079156;0.535092348
289;San Gregorio;33;0.121212121;0.424242424
290;San Ignacio;822;0.430656934;0.454987835
291;San Javier;2777;0.528988117;0.525387108
292;San Joaquin;6363;0.303787522;0.611346849
293;San Jose De Maipo;971;0.415036045;0.5623069
